route_id,service_id,trip_id,direction_id,wheelchair_accessible,bikes_allowed,shape_id
5,2917,984231861,0,1,1,15
5,2917,984231871,0,1,1,15
5,2917,984231881,0,1,1,15
5,2917,984231891,0,1,1,15
5,2917,984231901,0,1,1,15
5,2917,984231911,0,1,1,15
5,2917,984231921,0,1,1,15
5,2917,984231931,0,1,1,15
5,2917,984231941,0,1,1,15
5,2917,984231951,0,1,1,15
5,2917,984231961,0,1,1,15
5,2917,984231971,0,1,1,15
5,2917,984231981,0,1,1,15
5,2917,984231991,0,1,1,15
5,2917,984232001,0,1,1,15
5,2917,984232011,0,1,1,15
5,2917,984232021,0,1,1,15
5,2917,984232031,0,1,1,15
5,2917,984232041,0,1,1,15
5,2917,984232051,0,1,1,15
5,2917,984232061,0,1,1,15
5,2917,984232071,0,1,1,15
5,2917,984232081,0,1,1,15
5,2917,984232091,0,1,1,15
5,2917,984232101,0,1,1,15
5,2917,984232111,0,1,1,15
5,2917,984232121,0,1,1,15
5,2917,984232131,0,1,1,15
5,2917,984232141,0,1,1,15
5,2917,984232151,0,1,1,15
5,2917,984232161,0,1,1,15
5,2917,984232171,0,1,1,15
5,2917,984231862,1,1,1,25
5,2917,984231872,1,1,1,25
5,2917,984231882,1,1,1,25
5,2917,984231892,1,1,1,25
5,2917,984231902,1,1,1,25
5,2917,984231912,1,1,1,25
5,2917,984231922,1,1,1,25
5,2917,984231932,1,1,1,25
5,2917,984231942,1,1,1,25
5,2917,984231952,1,1,1,25
5,2917,984231962,1,1,1,25
5,2917,984231972,1,1,1,25
5,2917,984231982,1,1,1,25
5,2917,984231992,1,1,1,25
5,2917,984232002,1,1,1,25
5,2917,984232012,1,1,1,25
5,2917,984232022,1,1,1,25
5,2917,984232032,1,1,1,25
5,2917,984232042,1,1,1,25
5,2917,984232052,1,1,1,25
5,2917,984232062,1,1,1,25
5,2917,984232072,1,1,1,25
5,2917,984232082,1,1,1,25
5,2917,984232092,1,1,1,25
5,2917,984232102,1,1,1,25
5,2917,984232112,1,1,1,25
5,2917,984232122,1,1,1,25
5,2917,984232132,1,1,1,25
5,2917,984232142,1,1,1,25
5,2917,984232152,1,1,1,25
5,2917,984232162,1,1,1,25
5,2917,984232172,1,1,1,25
6,2917,982068901,0,1,0,16
6,2917,982068911,0,1,0,16
6,2917,982068921,0,1,0,16
6,2917,982068931,0,1,0,16
6,2917,982068941,0,1,0,16
6,2917,982068951,0,1,0,16
6,2917,982068961,0,1,0,16
6,2917,982068971,0,1,0,16
6,2917,982068981,0,1,0,16
6,2917,982068991,0,1,0,16
6,2917,982069001,0,1,0,16
6,2917,982069011,0,1,0,16
6,2917,982069021,0,1,0,16
6,2917,982069031,0,1,0,16
6,2917,982069041,0,1,0,16
6,2917,982069051,0,1,0,16
6,2917,982069061,0,1,0,16
6,2917,982069071,0,1,0,16
6,2917,982069081,0,1,0,16
6,2917,982069091,0,1,0,16
6,2917,982069101,0,1,0,16
6,2917,982069111,0,1,0,16
6,2917,982069121,0,1,0,16
6,2917,982069131,0,1,0,16
6,2917,982137941,0,1,0,16
6,2917,982137951,0,1,0,16
6,2917,982137961,0,1,0,16
6,2917,982137971,0,1,0,16
6,2917,982137981,0,1,0,16
6,2917,982137991,0,1,0,16
6,2917,982138001,0,1,0,16
6,2917,982138011,0,1,0,16
6,2917,982138021,0,1,0,16
6,2917,982068902,1,1,0,26
6,2917,982068912,1,1,0,26
6,2917,982068922,1,1,0,26
6,2917,982068932,1,1,0,26
6,2917,982068942,1,1,0,26
6,2917,982068952,1,1,0,26
6,2917,982068962,1,1,0,26
6,2917,982068972,1,1,0,26
6,2917,982068982,1,1,0,26
6,2917,982068992,1,1,0,26
6,2917,982069002,1,1,0,26
6,2917,982069012,1,1,0,26
6,2917,982069022,1,1,0,26
6,2917,982069032,1,1,0,26
6,2917,982069042,1,1,0,26
6,2917,982069052,1,1,0,26
6,2917,982069062,1,1,0,26
6,2917,982069072,1,1,0,26
6,2917,982069082,1,1,0,26
6,2917,982069092,1,1,0,26
6,2917,982069102,1,1,0,26
6,2917,982069112,1,1,0,26
6,2917,982069122,1,1,0,26
6,2917,982069132,1,1,0,26
6,2917,982137942,1,1,0,26
6,2917,982137952,1,1,0,26
6,2917,982137962,1,1,0,26
6,2917,982137972,1,1,0,26
6,2917,982137982,1,1,0,26
6,2917,982137992,1,1,0,26
6,2917,982138002,1,1,0,26
6,2917,982138012,1,1,0,26
6,2917,982138022,1,1,0,26
7,2917,982097171,0,1,1,17
7,2917,982097181,0,1,1,17
7,2917,982097191,0,1,1,17
7,2917,982097201,0,1,1,17
7,2917,982097211,0,1,1,17
7,2917,982097221,0,1,1,17
7,2917,982097231,0,1,1,17
7,2917,982097241,0,1,1,17
7,2917,982097251,0,1,1,17
7,2917,982097261,0,1,1,17
7,2917,982097271,0,1,1,17
7,2917,982097281,0,1,1,17
7,2917,982097291,0,1,1,17
7,2917,982097301,0,1,1,17
7,2917,982097311,0,1,1,17
7,2917,982097321,0,1,1,17
7,2917,982097331,0,1,1,17
7,2917,982097341,0,1,1,17
7,2917,982097351,0,1,1,17
7,2917,982097361,0,1,1,17
7,2917,982097371,0,1,1,17
7,2917,982097381,0,1,1,17
7,2917,982097391,0,1,1,17
7,2917,982097401,0,1,1,17
7,2917,982097411,0,1,1,17
7,2917,982159771,0,1,0,17
7,2917,982159781,0,1,0,17
7,2917,982159791,0,1,0,17
7,2917,982159801,0,1,0,17
7,2917,982097172,1,1,1,27
7,2917,982097182,1,1,1,27
7,2917,982097192,1,1,1,27
7,2917,982097202,1,1,1,27
7,2917,982097212,1,1,1,27
7,2917,982097222,1,1,1,27
7,2917,982097232,1,1,1,27
7,2917,982097242,1,1,1,27
7,2917,982097252,1,1,1,27
7,2917,982097262,1,1,1,27
7,2917,982097272,1,1,1,27
7,2917,982097282,1,1,1,27
7,2917,982097292,1,1,1,27
7,2917,982097302,1,1,1,27
7,2917,982097312,1,1,1,27
7,2917,982097322,1,1,1,27
