Karsilastirma,MAE Fark (dk),Daha iyi,p (t-test),p (Wilcoxon),Anlamli (p<0.05)
LSTM vs Random Forest (Improved),0.0073,LSTM,0.001447,0.00065,Evet
LSTM vs XGBoost (Improved),0.0023,LSTM,0.315663,0.314154,Hayir
