model,MAE (dk),RMSE (dk),MAPE (%),R2
XGBoost Improved (log-transform),0.3711,0.6447,35.89,0.5422
RF Improved (log-transform),0.3773,0.6684,37.4,0.5079
RF Segment Bazli (Mixture of Experts),0.378,0.6979,37.47,0.4635
RF Baseline (orijinal),0.3926,0.6988,40.71,0.4622
