Model,MAE (dk),RMSE (dk),MAPE (%),R2
Enhanced XGB,0.3694,0.6005,21.38,0.4885
Random Forest,0.5697,0.6949,51.48,0.3149
XGBoost,0.5707,0.8177,40.12,0.0514
Historical Avg,0.5988,0.8202,45.13,0.0455
Naive (GTFS),0.6185,0.8062,48.84,0.0778
Linear Reg,0.6567,0.8853,60.57,-0.112
