HAT_NO;BASLIK;BASLAMA_TARIHI;BITIS_TARIHI
828;İZSU SARNIÇ 2026;2026-01-19 00:00:00;2026-03-30 00:00:00
866;176-177-304-536 VE 866 NO.LU HATLARDA GÜZERGAH DEĞİŞİKLİKLERİ;2025-12-17 14:40:00;2026-03-02 00:00:00
866;475-866-869 VE 874 NO.LU HATLAR GEÇİCİ GÜZERGAH DEĞİŞİKLİKLERİ;2025-12-05 14:45:00;2026-02-24 00:00:00
869;475-866-869 VE 874 NO.LU HATLAR GEÇİCİ GÜZERGAH DEĞİŞİKLİKLERİ;2025-12-05 14:45:00;2026-02-24 00:00:00
874;475-866-869 VE 874 NO.LU HATLAR GEÇİCİ GÜZERGAH DEĞİŞİKLİKLERİ;2025-12-05 14:45:00;2026-02-24 00:00:00
889;İZSU SARNIÇ 2026;2026-01-19 00:00:00;2026-03-30 00:00:00
986;Seferihisar İlçesi, Doğanbey Mevkiinde TSK tarafından yıl içerisinde planlı ya da plansız icra edilen tatbikatlar nedeni ile 986 ve 987 No.lu hatlarımızın güzergahlarında değişikliklere gidilmektedir.;2021-10-28 11:32:00;2032-12-31 08:24:00
986;SEFERİHİSAR TSK TATBİKATLARI NEDENİ İLE GÜZERGAH DEĞİŞİKLİĞİ;2021-10-28 00:00:00;2032-12-31 00:00:00
987;Seferihisar İlçesi, Doğanbey Mevkiinde TSK tarafından yıl içerisinde planlı ya da plansız icra edilen tatbikatlar nedeni ile 986 ve 987 No.lu hatlarımızın güzergahlarında değişikliklere gidilmektedir.;2021-10-28 11:32:00;2032-12-31 08:24:00
987;SEFERİHİSAR TSK TATBİKATLARI NEDENİ İLE GÜZERGAH DEĞİŞİKLİĞİ;2021-10-28 00:00:00;2032-12-31 00:00:00
