date,bus_id,yon,trip_start_time,hour,day_of_week,is_weekend,time_block,from_stop_seq,to_stop_seq,from_stop_name,to_stop_name,distance_m,stop_progress,scheduled_travel_seconds,scheduled_travel_minutes,temperature,humidity,precipitation,wind_speed,visibility,weather_category,is_rainy,deviation_seconds,deviation_minutes,travel_seconds,travel_minutes
2026-03-26,12556,1,14:04:21,14,3,0,off_peak,17,16,Alparslan Mah. Muhtarlık,Taş Ocağı,178.4,0.393,48.98684210526316,0.82,24.9,52.0,0.0,6.0,12.0,clear,0,80.01315789473685,1.33,129.0,2.15
2026-03-26,12556,1,14:04:21,14,3,0,off_peak,16,15,Taş Ocağı,Mavi Köşe,162.9,0.429,46.46875,0.77,24.9,52.0,0.0,6.0,12.0,clear,0,-13.46875,-0.22,33.0,0.55
2026-03-26,12556,1,14:04:21,14,3,0,off_peak,15,14,Mavi Köşe,Adil Akçamlı,141.2,0.464,46.95723684210526,0.78,24.9,52.0,0.0,6.0,12.0,clear,0,50.04276315789474,0.83,97.0,1.62
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,7,6,75.Yıl Parkı,Cengizhan 75.Yıl Lisesi,178.3,0.781,71.40625,1.19,24.9,52.0,0.0,6.0,12.0,clear,0,25.59375,0.43,97.0,1.62
2026-03-26,12556,1,14:04:21,14,3,0,off_peak,14,13,Adil Akçamlı,Yunus Keskin Parkı,415.0,0.5,68.95723684210526,1.15,24.9,52.0,0.0,6.0,12.0,clear,0,190.04276315789474,3.17,259.0,4.32
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,8,7,Birkent 2,75.Yıl Parkı,127.2,0.75,44.953947368421055,0.75,24.9,52.0,0.0,6.0,12.0,clear,0,-12.953947368421055,-0.22,32.0,0.53
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,10,9,Durmuş Yaşar İlköğretim,Birkent,179.7,0.688,50.44901315789474,0.84,24.9,52.0,0.0,6.0,12.0,clear,0,-18.44901315789474,-0.31,32.0,0.53
2026-03-26,12110,0,14:04:21,14,3,0,off_peak,7,6,75.Yıl Parkı,Cengizhan 75.Yıl Lisesi,178.3,0.781,71.40625,1.19,24.9,52.0,0.0,6.0,12.0,clear,0,24.59375,0.41,96.0,1.6
2026-03-26,12110,0,14:04:21,14,3,0,off_peak,6,5,Cengizhan 75.Yıl Lisesi,Sağlık Ocağı,206.9,0.812,56.485197368421055,0.94,24.9,52.0,0.0,6.0,12.0,clear,0,-23.485197368421055,-0.39,33.0,0.55
2026-03-26,12110,0,14:04:21,14,3,0,off_peak,5,4,Sağlık Ocağı,Yasemin,365.8,0.844,65.01644736842105,1.08,24.9,52.0,0.0,6.0,12.0,clear,0,-33.016447368421055,-0.55,32.0,0.53
2026-03-26,12110,0,14:04:21,14,3,0,off_peak,4,3,Yasemin,Yeşil Ulu Cami,306.1,0.875,93.91776315789474,1.57,24.9,52.0,0.0,6.0,12.0,clear,0,2.08223684210526,0.03,96.0,1.6
2026-03-26,12110,0,14:04:21,14,3,0,off_peak,3,2,Yeşil Ulu Cami,Borsa Okulu Eski Sondurak,304.0,0.906,60.99342105263158,1.02,24.9,52.0,0.0,6.0,12.0,clear,0,3.0065789473684177,0.05,64.0,1.07
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,9,8,Birkent,Birkent 2,148.0,0.719,74.3470394736842,1.24,24.9,52.0,0.0,6.0,12.0,clear,0,-41.347039473684205,-0.69,33.0,0.55
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,23,22,Bayraklı Depo,Manas,249.5,0.281,56.47203947368421,0.94,24.9,52.0,0.0,6.0,12.0,clear,0,40.52796052631579,0.68,97.0,1.62
2026-03-26,12556,1,14:04:21,14,3,0,off_peak,13,12,Yunus Keskin Parkı,Matbaa,692.2,0.536,45.45559210526316,0.76,24.9,52.0,0.0,6.0,12.0,clear,0,51.54440789473684,0.86,97.0,1.62
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,11,10,Alpaslan,Durmuş Yaşar İlköğretim,277.9,0.656,73.43585526315789,1.22,24.9,52.0,0.0,6.0,12.0,clear,0,-8.43585526315789,-0.14,65.0,1.08
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,12,11,PTT Santral,Alpaslan,208.9,0.625,73.41611842105263,1.22,24.9,52.0,0.0,6.0,12.0,clear,0,-9.41611842105263,-0.16,64.0,1.07
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,13,12,Alparslan Mah. Muhtarlık,PTT Santral,166.9,0.594,45.45559210526316,0.76,24.9,52.0,0.0,6.0,12.0,clear,0,-12.455592105263158,-0.21,33.0,0.55
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,14,13,Taş Ocağı,Alparslan Mah. Muhtarlık,178.4,0.562,68.95723684210526,1.15,24.9,52.0,0.0,6.0,12.0,clear,0,-3.95723684210526,-0.07,65.0,1.08
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,16,15,Adil Akçamlı,Mavi Köşe,141.2,0.5,46.46875,0.77,24.9,52.0,0.0,6.0,12.0,clear,0,19.53125,0.33,66.0,1.1
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,15,14,Mavi Köşe,Taş Ocağı,162.9,0.531,46.95723684210526,0.78,24.9,52.0,0.0,6.0,12.0,clear,0,-14.95723684210526,-0.25,32.0,0.53
2026-03-26,12144,0,14:04:21,14,3,0,off_peak,22,21,Manas,Smyrna,323.5,0.312,84.92105263157895,1.42,24.9,52.0,0.0,6.0,12.0,clear,0,-52.921052631578945,-0.88,32.0,0.53
2026-03-26,12137,0,14:09:11,14,3,0,off_peak,24,23,Halide Edip Adıvar,Bayraklı Depo,446.8,0.25,75.5345394736842,1.26,24.9,52.0,0.0,6.0,12.0,clear,0,-10.534539473684205,-0.18,65.0,1.08
2026-03-26,12137,0,14:09:11,14,3,0,off_peak,21,20,Smyrna,Piyale,329.0,0.344,64.5345394736842,1.08,24.9,52.0,0.0,6.0,12.0,clear,0,-32.534539473684205,-0.54,32.0,0.53
2026-03-26,12137,0,14:09:11,14,3,0,off_peak,22,21,Manas,Smyrna,323.5,0.312,84.92105263157895,1.42,24.9,52.0,0.0,6.0,12.0,clear,0,-19.921052631578945,-0.33,65.0,1.08
2026-03-26,12137,0,14:09:11,14,3,0,off_peak,23,22,Bayraklı Depo,Manas,249.5,0.281,56.47203947368421,0.94,24.9,52.0,0.0,6.0,12.0,clear,0,7.527960526315788,0.13,64.0,1.07
2026-03-26,12137,0,14:09:11,14,3,0,off_peak,25,24,Adliye,Halide Edip Adıvar,266.0,0.219,68.9407894736842,1.15,24.9,52.0,0.0,6.0,12.0,clear,0,28.059210526315795,0.47,97.0,1.62
2026-03-26,12137,0,14:09:11,14,3,0,off_peak,26,25,Üçüncü Sanayi,Adliye,482.7,0.188,92.51151315789474,1.54,24.9,52.0,0.0,6.0,12.0,clear,0,135.48848684210526,2.26,228.0,3.8
2026-03-26,12137,0,14:09:11,14,3,0,off_peak,27,26,Bölge İdare Mahkemesi,Üçüncü Sanayi,301.9,0.156,65.47532894736842,1.09,24.9,52.0,0.0,6.0,12.0,clear,0,31.524671052631575,0.53,97.0,1.62
2026-03-26,12140,1,14:15:41,14,3,0,off_peak,21,20,Birkent,Durmuş Yaşar İlköğretim,179.7,0.25,64.5345394736842,1.08,24.9,52.0,0.0,6.0,12.0,clear,0,33.465460526315795,0.56,98.0,1.63
2026-03-26,12140,1,14:15:41,14,3,0,off_peak,25,24,Yasemin,Sağlık Ocağı,365.8,0.107,68.9407894736842,1.15,24.9,52.0,0.0,6.0,12.0,clear,0,-36.940789473684205,-0.62,32.0,0.53
2026-03-26,12140,1,14:15:41,14,3,0,off_peak,24,23,Sağlık Ocağı,Cengizhan 75.Yıl Lisesi,206.9,0.143,75.5345394736842,1.26,24.9,52.0,0.0,6.0,12.0,clear,0,20.465460526315795,0.34,96.0,1.6
2026-03-26,12140,1,14:15:41,14,3,0,off_peak,23,22,Cengizhan 75.Yıl Lisesi,75.Yıl Parkı,178.3,0.179,56.47203947368421,0.94,24.9,52.0,0.0,6.0,12.0,clear,0,-23.472039473684212,-0.39,33.0,0.55
2026-03-26,12140,1,14:15:41,14,3,0,off_peak,22,21,75.Yıl Parkı,Birkent,220.0,0.214,84.92105263157895,1.42,24.9,52.0,0.0,6.0,12.0,clear,0,-19.921052631578945,-0.33,65.0,1.08
2026-03-26,12140,1,14:15:41,14,3,0,off_peak,27,26,Borsa Okulu Eski Sondurak,Yeşil Ulu Cami,304.0,0.036,65.47532894736842,1.09,24.9,52.0,0.0,6.0,12.0,clear,0,63.524671052631575,1.06,129.0,2.15
2026-03-26,12140,1,14:15:41,14,3,0,off_peak,26,25,Yeşil Ulu Cami,Yasemin,306.1,0.071,92.51151315789474,1.54,24.9,52.0,0.0,6.0,12.0,clear,0,-27.51151315789474,-0.46,65.0,1.08
